原词,关系类型,目标词
bee,同音词,be
see,同音词,sea
no,同音词,know
hi,同音词,high
for,同音词,four
son,同音词,sun
our,同音词,hour
pair,同音词,pear
here,同音词,hear
to,同音词,two
to,同音词,too
two,同音词,too
there,同音词,their
by,同音词,bye
by,同音词,buy
bye,同音词,buy
right,同音词,write
red,同音词,read
meat,同音词,meet
wear,同音词,where
dear,同音词,deer
weight,同音词,wait
it's,同音词,its
new,同音词,knew
father,同音词,farther
blue,同音词,blew
father,近义词,dad
mother,近义词,mum
mother,近义词,mom
mum,近义词,mom
listen,近义词,hear
glad,近义词,happy
gift,近义词,present
like,近义词,love
little,近义词,small
photo,近义词,picture
start,近义词,begin
plane,近义词,airplane
learn,近义词,study
beautiful,近义词,pretty
usually,近义词,often
near,近义词,beside
near,近义词,near to
beside,近义词,near to
hi,近义词,hello
speak,近义词,say
of course,近义词,sure
be from,近义词,come from
take a bus,近义词,by bus
would like,近义词,want
toilet,近义词,WC
class,近义词,lesson
everyone,近义词,everybody
glass,近义词,cup
large,近义词,big
purse,近义词,wallet
home,近义词,house
look,近义词,see
cycle,近义词,bike
quick,近义词,fast
garden,近义词,park
desk,近义词,table
speak,近义词,talk
say,近义词,talk
river,近义词,lake
go home,近义词,come home
a moment ago,近义词,just now
a lot of,近义词,lots of
a lot of,近义词,many
lots of,近义词,many
be good at,近义词,do well in
take a walk,近义词,go for a walk
look for,近义词,find
big,反义词,small
bad,反义词,good
black,反义词,white
cold,反义词,hot
cool,反义词,warm
come,反义词,go
different,反义词,same
difficult,反义词,easy
day,反义词,night
early,反义词,late
happy,反义词,sad
in,反义词,out
left,反义词,right
quiet,反义词,active
new,反义词,old
open,反义词,close
stand,反义词,sit
short,反义词,tall
short,反义词,long
thin,反义词,fat
up,反义词,down
wrong,反义词,right
young,反义词,old
behind,反义词,in front of
stop,反义词,start
stop,反义词,begin
cheap,反义词,expensive
cheap,反义词,dear
always,反义词,never
west,反义词,east
north,反义词,south
here,反义词,there
after,反义词,before
fat,反义词,thin
late,反义词,early
long,反义词,short
tall,反义词,short
yes,反义词,no
far,反义词,near
sit,反义词,stand
cry,反义词,laugh
right,反义词,wrong
right,反义词,left
same,反义词,different
quick,反义词,slow
ask,反义词,answer
busy,反义词,free
this,反义词,that
these,反义词,those
man,反义词,woman
boy,反义词,girl
uncle,反义词,aunt
grandmother,反义词,grandfather
father,反义词,mother
sister,反义词,brother
son,反义词,daughter
actor,反义词,actress
student,反义词,teacher
tomorrow,反义词,yesterday
do,词形变化,did
have,词形变化,had
is,词形变化,was
are,词形变化,were
go,词形变化,went
fly,词形变化,flew
make,词形变化,made
sing,词形变化,sang
eat,词形变化,ate
see,词形变化,saw
get,词形变化,got
take,词形变化,took
buy,词形变化,bought
leave,词形变化,left
swim,词形变化,swam
win,词形变化,won
child,词形变化,children
man,词形变化,men
woman,词形变化,women
mouse,词形变化,mice
foot,词形变化,feet
tooth,词形变化,teeth
goose,词形变化,geese
knife,词形变化,knives
leaf,词形变化,leaves
city,词形变化,cities
tomato,词形变化,tomatoes
potato,词形变化,potatoes
it,词形变化,they
it,词形变化,them
me,词形变化,us
this,词形变化,these
that,词形变化,those
sheep,词形变化,sheep
deer,词形变化,deer
Chinese,词形变化,Chinese
dry,反义词,wet
near,反义词,far
light,反义词,heavy
above,反义词,below
remember,反义词,forget
strong,反义词,weak
win,反义词,lose
have,词形变化,has
carry,词形变化,carries
say,词形变化,says
zero,词形变化,zeros
beach,词形变化,beaches
ring,词形变化,ringing
sit,词形变化,sitting
swim,词形变化,swimming
run,词形变化,running
call,词形变化,calling
lie,词形变化,lying
quick,词形变化,quickly
slow,词形变化,slowy
easy,词形变化,easily
happy,词形变化,happily
hear,同音词,here
snow,词形变化,snowy
rain,词形变化,rainy
sun,词形变化,sunny
wind,词形变化,windy
cloud,词形变化,cloudy
one,词形变化,first
good,反义词,bad
hot,反义词,cold
fast,反义词,slow
high,反义词,low
rich,反义词,poor
full,反义词,empty
clean,反义词,dirty
safe,反义词,dangerous
hard,反义词,soft
dark,反义词,light
wide,反义词,narrow
thick,反义词,thin
deep,反义词,shallow
sweet,反义词,sour
smooth,反义词,rough
sharp,反义词,blunt
loud,反义词,quiet
kind,反义词,cruel
polite,反义词,rude
wise,反义词,foolish
brave,反义词,cowardly
patient,反义词,impatient
honest,反义词,dishonest
pleasant,反义词,unpleasant
lucky,反义词,unlucky
usual,反义词,unusual
important,反义词,unimportant
possible,反义词,impossible
visible,反义词,invisible
correct,反义词,incorrect
regular,反义词,irregular
legal,反义词,illegal
formal,反义词,informal
dependent,反义词,independent
like,反义词,dislike
agree,反义词,disagree
appear,反义词,disappear
connect,反义词,disconnect
cover,反义词,uncover
pack,反义词,unpack
load,反义词,unload
lock,反义词,unlock
do,反义词,undo
known,反义词,unknown
happy,近义词,joyful
sad,近义词,unhappy
big,近义词,large
small,近义词,tiny
fast,近义词,quick
slow,近义词,unfast
smart,近义词,intelligent
dumb,近义词,stupid
beautiful,近义词,attractive
ugly,近义词,unattractive
clean,近义词,tidy
dirty,近义词,filthy
rich,近义词,wealthy
poor,近义词,impoverished
strong,近义词,powerful
weak,近义词,feeble
begin,近义词,start
end,近义词,finish
buy,近义词,purchase
sell,近义词,retail
get,近义词,obtain
give,近义词,provide
see,近义词,notice
look,近义词,watch
hear,近义词,listen
say,近义词,state
tell,近义词,inform
ask,近义词,inquire
answer,近义词,reply
help,近义词,assist
hurt,近义词,injure
keep,近义词,maintain
leave,近义词,depart
reach,近义词,arrive
teach,近义词,educate
work,近义词,job
play,近义词,frolic
run,近义词,sprint
walk,近义词,stroll
talk,近义词,speak
sleep,近义词,slumber
eat,近义词,consume
drink,近义词,imbibe
laugh,近义词,chuckle
cry,近义词,weep
love,近义词,adore
hate,近义词,despise
make,近义词,create
destroy,近义词,ruin
build,近义词,construct
break,近义词,smash
fix,近义词,repair
move,近义词,shift
stop,近义词,halt
continue,近义词,proceed
try,近义词,attempt
win,近义词,triumph
lose,近义词,defeat
save,近义词,rescue
catch,近义词,capture
throw,近义词,toss
pull,近义词,drag
push,近义词,shove
carry,近义词,transport
open,近义词,unlock
close,近义词,shut
enter,近义词,come in
leave,近义词,exit
live,近义词,reside
die,近义词,perish
grow,近义词,increase
reduce,近义词,decrease
change,近义词,modify
stay,近义词,remain
wait,近义词,await
happen,近义词,occur
seem,近义词,appear
become,近义词,get
feel,近义词,sense
think,近义词,believe
know,近义词,understand
mean,近义词,signify
include,近义词,contain
allow,近义词,permit
forbid,近义词,prohibit
need,近义词,require
want,近义词,desire
prefer,近义词,favor
decide,近义词,determine
plan,近义词,arrange
remember,近义词,recall
forget,近义词,neglect
miss,近义词,omit
find,近义词,discover
lose,近义词,mislay
show,近义词,display
hide,近义词,conceal
prove,近义词,demonstrate
assume,近义词,suppose
explain,近义词,clarify
discuss,近义词,talk about
suggest,近义词,propose
consider,近义词,think over
finish,近义词,complete
continue,近义词,keep on
practice,近义词,rehearse
train,近义词,coach
study,近义词,learn
read,近义词,peruse
write,近义词,record
draw,近义词,sketch
paint,近义词,color
sing,近义词,chant
dance,近义词,sway
travel,近义词,journey
drive,近义词,steer
fly,近义词,soar
swim,近义词,paddle
climb,近义词,ascend
jump,近义词,leap
fall,近义词,drop
lift,近义词,raise
lower,近义词,drop
turn,近义词,rotate
shake,近义词,shiver
bend,近义词,curve
stretch,近义词,extend
fold,近义词,bend
cut,近义词,slice
stick,近义词,attach
melt,近义词,dissolve
freeze,近义词,ice
boil,近义词,heat
cool,近义词,chill
dry,近义词,dehydrate
wet,近义词,moisten
fill,近义词,pack
empty,近义词,vacate
push,近义词,press
pull,近义词,tug
kick,近义词,boot
hit,近义词,strike
touch,近义词,feel
hold,近义词,grasp
shake,近义词,wiggle
wash,近义词,clean
cook,近义词,prepare
bake,近义词,roast
fry,近义词,sauté
boil,近义词,simmer
roast,近义词,grill
weigh,近义词,measure
count,近义词,calculate
add,近义词,sum
subtract,近义词,minus
multiply,近义词,times
divide,近义词,split
compare,近义词,contrast
fit,近义词,suit
match,近义词,correspond
own,近义词,possess
belong,近义词,pertain
cost,近义词,price
value,近义词,worth
increase,近义词,grow
reduce,近义词,lessen
improve,近义词,better
worsen,近义词,decline
protect,近义词,defend
attack,近义词,assault
support,近义词,back
oppose,近义词,resist
blame,近义词,accuse
praise,近义词,compliment
enjoy,近义词,like
hate,近义词,loathe
prefer,近义词,choose
hope,近义词,wish
fear,近义词,scare
surprise,近义词,amaze
excite,近义词,thrill
bore,近义词,tire
interest,近义词,fascinate
satisfy,近义词,please
disappoint,近义词,let down
worry,近义词,concern
calm,近义词,soothe
comfort,近义词,console
upset,近义词,trouble
annoy,近义词,bother
amuse,近义词,entertain
relax,近义词,unwind
hurry,近义词,rush
delay,近义词,postpone
visit,近义词,call on
meet,近义词,encounter
phone,近义词,call
picture,近义词,photo
present,近义词,gift
quiet,近义词,silent
raise,近义词,lift
reach,近义词,get to
read,近义词,look at
real,近义词,TRUE
rest,近义词,break
right,近义词,correct
rise,近义词,go up
room,近义词,space
safe,近义词,secure
same,近义词,identical
say,近义词,speak
school,近义词,academy
see,近义词,spot
sell,近义词,market
send,近义词,dispatch
sense,近义词,feeling
serious,近义词,severe
set,近义词,put
shop,近义词,store
sick,近义词,ill
side,近义词,edge
simple,近义词,easy
sit,近义词,be seated
sleep,近义词,doze
small,近义词,little
smart,近义词,clever
smell,近义词,odor
smile,近义词,grin
smoke,近义词,fume
smooth,近义词,flat
snow,近义词,blizzard
soft,近义词,gentle
soon,近义词,shortly
sort,近义词,kind
sound,近义词,noise
sour,近义词,tart
space,近义词,area
special,近义词,particular
spell,近义词,write
spend,近义词,pay
spoon,近义词,utensil
sport,近义词,game
spring,近义词,season
stand,近义词,be upright
star,近义词,celebrity
state,近义词,condition
station,近义词,stop
step,近义词,pace
stick,近义词,rod
still,近义词,yet
stone,近义词,rock
stop,近义词,cease
store,近义词,shop
story,近义词,tale
straight,近义词,direct
strange,近义词,odd
street,近义词,road
strike,近义词,hit
student,近义词,pupil
such,近义词,like
sudden,近义词,unexpected
sugar,近义词,sweetener
summer,近义词,season
sun,近义词,star
supply,近义词,provide
support,近义词,hold
sure,近义词,certain
surprise,近义词,shock
sweet,近义词,candy
swim,近义词,bathe
table,近义词,desk
take,近义词,grab
talk,近义词,chat
tall,近义词,high
taste,近义词,flavor
teach,近义词,instruct
team,近义词,group
tend,近义词,incline
term,近义词,word
test,近义词,exam
than,近义词,compared to
thank,近义词,appreciate
that,近义词,those
the,近义词,this
their,近义词,them
them,近义词,those
then,近义词,next
there,近义词,that place
these,近义词,this
they,近义词,those
thick,近义词,wide
thin,近义词,skinny
thing,近义词,object
this,近义词,that
those,近义词,these
though,近义词,although
through,近义词,via
thus,近义词,therefore
tie,近义词,fasten
time,近义词,moment
tiny,近义词,small
tire,近义词,wheel
to,近义词,toward
today,近义词,now
together,近义词,as a group
tomorrow,近义词,future
tone,近义词,sound
too,近义词,also
tool,近义词,instrument
top,近义词,peak
total,近义词,whole
toward,近义词,to
town,近义词,city
track,近义词,path
trade,近义词,commerce
treat,近义词,handle
tree,近义词,plant
trip,近义词,journey
trouble,近义词,problem
truck,近义词,lorry
TRUE,近义词,real
trust,近义词,believe
truth,近义词,facts
tube,近义词,pipe
twice,近义词,double
type,近义词,kind
uncle,近义词,aunt's husband
under,近义词,below
understand,近义词,comprehend
unit,近义词,part
up,近义词,upward
upon,近义词,on
us,近义词,we
use,近义词,utilize
usual,近义词,normal
valley,近义词,gorge
very,近义词,extremely
village,近义词,hamlet
voice,近义词,sound
wait,近义词,stay
walk,近义词,hike
wall,近义词,barrier
war,近义词,battle
warm,近义词,hot
warn,近义词,alert
waste,近义词,rubbish
watch,近义词,observe
water,近义词,drink
wave,近义词,swell
way,近义词,manner
we,近义词,us
wear,近义词,put on
weather,近义词,climate
week,近义词,seven days
weight,近义词,mass
welcome,近义词,greet
well,近义词,fine
west,近义词,western
wet,近义词,moist
what,近义词,which
wheel,近义词,tyre
when,近义词,at what time
where,近义词,in which place
which,近义词,what
while,近义词,during
white,近义词,light
who,近义词,whom
whole,近义词,entire
why,近义词,for what reason
wide,近义词,broad
wife,近义词,spouse
will,近义词,shall
wind,近义词,breeze
window,近义词,glass
wine,近义词,alcohol
wing,近义词,limb
winter,近义词,cold season
wire,近义词,cable
wise,近义词,smart
wish,近义词,desire
with,近义词,including
within,近义词,inside
without,近义词,lacking
woman,近义词,lady
wonder,近义词,marvel
wood,近义词,timber
word,近义词,term
work,近义词,labor
world,近义词,earth
worth,近义词,value
would,近义词,could
wrong,近义词,incorrect
year,近义词,twelve months
yellow,近义词,lemon
yes,近义词,yeah
yesterday,近义词,previous day
yet,近义词,still
you,近义词,thyself
young,近义词,youthful
zero,近义词,nought
zone,近义词,area
be,词形变化,am
be,词形变化,are
do,词形变化,does
go,词形变化,goes
make,词形变化,makes
get,词形变化,gets
take,词形变化,takes
come,词形变化,comes
see,词形变化,sees
find,词形变化,finds
give,词形变化,gives
tell,词形变化,tells
ask,词形变化,asks
work,词形变化,works
know,词形变化,knows
help,词形变化,helps
show,词形变化,shows
try,词形变化,tries
use,词形变化,uses
call,词形变化,calls
keep,词形变化,keeps
leave,词形变化,leaves
put,词形变化,puts
mean,词形变化,means
let,词形变化,lets
begin,词形变化,begins
run,词形变化,runs
write,词形变化,writes
sit,词形变化,sits
stand,词形变化,stands
bring,词形变化,brings
buy,词形变化,buys
drink,词形变化,drinks
eat,词形变化,eats
fall,词形变化,falls
feel,词形变化,feels
forget,词形变化,forgets
grow,词形变化,grows
hold,词形变化,holds
hurt,词形变化, Hurts
learn,词形变化,learns
meet,词形变化,meets
pay,词形变化,pays
read,词形变化,reads
ring,词形变化,rings
sell,词形变化,sells
send,词形变化,sends
shut,词形变化,shuts
sing,词形变化,sings
sleep,词形变化,sleeps
speak,词形变化,speaks
spend,词形变化,spends
steal,词形变化,steals
stick,词形变化,sticks
teach,词形变化,teaches
think,词形变化,thinks
wake,词形变化,wakes
wear,词形变化,wears
win,词形变化,wins
be,词形变化,being
have,词形变化,having
do,词形变化,doing
say,词形变化,saying
make,词形变化,making
go,词形变化,going
take,词形变化,taking
come,词形变化,coming
see,词形变化,seeing
get,词形变化,getting
give,词形变化,giving
find,词形变化,finding
know,词形变化,knowing
think,词形变化,thinking
look,词形变化,looking
want,词形变化,wanting
use,词形变化,using
tell,词形变化,telling
ask,词形变化,asking
work,词形变化,working
seem,词形变化,seeming
feel,词形变化,feeling
try,词形变化,trying
leave,词形变化,leaving
help,词形变化,helping
talk,词形变化,talking
turn,词形变化,turning
mean,词形变化,meaning
keep,词形变化,keeping
let,词形变化,letting
begin,词形变化,begining
write,词形变化,writing
stand,词形变化,standing
bring,词形变化,bringing
buy,词形变化,buying
drink,词形变化,drinking
eat,词形变化,eating
fall,词形变化,falling
forget,词形变化,forgetting
grow,词形变化,growing
hold,词形变化,holding
hurt,词形变化,hurting
learn,词形变化,learning
meet,词形变化,meeting
pay,词形变化,paying
read,词形变化,reading
sell,词形变化,selling
send,词形变化,sending
shut,词形变化,shutting
sing,词形变化,singing
sleep,词形变化,sleeping
speak,词形变化,speaking
spend,词形变化,spending
steal,词形变化,stealing
stick,词形变化,sticking
teach,词形变化,teaching
wake,词形变化,waking
wear,词形变化,wearing
win,词形变化,winning
good,比较级,better
good,最高级,best
bad,比较级,worse
bad,最高级,worst
far,比较级,farther
far,最高级,farthest
far,比较级,further
far,最高级,furthest
old,比较级,older
old,最高级,oldest
old,比较级,elder
old,最高级,eldest
much,比较级,more
much,最高级,most
many,比较级,more
many,最高级,most
little,比较级,less
little,最高级,least
well,比较级,better
well,最高级,best
badly,比较级,worse
badly,最高级,worst
quick,比较级,quicker
quick,最高级,quickest
fast,比较级,faster
fast,最高级,fastest
slow,比较级,slower
slow,最高级,slowest
happy,比较级,happier
happy,最高级,happiest
easy,比较级,easier
easy,最高级,easiest
big,比较级,bigger
big,最高级,biggest
hot,比较级,hotter
hot,最高级,hottest
thin,比较级,thinner
thin,最高级,thinnest
wet,比较级,wetter
wet,最高级,wettest
sad,比较级,sadder
sad,最高级,saddest
red,比较级,redder
red,最高级,reddest
early,比较级,earlier
early,最高级,earliest
late,比较级,later
late,最高级,latest
funny,比较级,funnier
funny,最高级,funniest
dry,比较级,drier
dry,最高级,driest
pretty,比较级,prettier
pretty,最高级,prettiest
ugly,比较级,uglier
ugly,最高级,ugliest
busy,比较级,busier
busy,最高级,busiest
noisy,比较级,noisier
noisy,最高级,noisiest
heavy,比较级,heavier
heavy,最高级,heaviest
lucky,比较级,luckier
lucky,最高级,luckiest
healthy,比较级,healthier
healthy,最高级,healthiest
angry,比较级,angrier
angry,最高级,angriest
dirty,比较级,dirtier
dirty,最高级,dirtiest
empty,比较级,emptier
empty,最高级,emptiest
expensive,比较级,more expensive
expensive,最高级,most expensive
beautiful,比较级,more beautiful
beautiful,最高级,most beautiful
difficult,比较级,more difficult
difficult,最高级,most difficult
important,比较级,more important
important,最高级,most important
interesting,比较级,more interesting
interesting,最高级,most interesting
popular,比较级,more popular
popular,最高级,most popular
dangerous,比较级,more dangerous
dangerous,最高级,most dangerous
comfortable,比较级,more comfortable
comfortable,最高级,most comfortable
careful,比较级,more careful
careful,最高级,most careful
useful,比较级,more useful
useful,最高级,most useful
peaceful,比较级,more peaceful
peaceful,最高级,most peaceful
powerful,比较级,more powerful
powerful,最高级,most powerful
wonderful,比较级,more wonderful
wonderful,最高级,most wonderful
famous,比较级,more famous
famous,最高级,most famous
serious,比较级,more serious
serious,最高级,most serious
nervous,比较级,more nervous
nervous,最高级,most nervous
curious,比较级,more curious
curious,最高级,most curious
generous,比较级,more generous
generous,最高级,most generous
patient,比较级,more patient
patient,最高级,most patient
pleasant,比较级,more pleasant
pleasant,最高级,most pleasant
polite,比较级,more polite
polite,最高级,most polite
quiet,比较级,quieter
quiet,最高级,quietest
clever,比较级,cleverer
clever,最高级,cleverest
narrow,比较级,narrower
narrow,最高级,narrowest
simple,比较级,simpler
simple,最高级,simplest
gentle,比较级,gentler
gentle,最高级,gentlest
able,比较级,abler
able,最高级,ablest
tired,比较级,more tired
tired,最高级,most tired
bored,比较级,more bored
bored,最高级,most bored
excited,比较级,more excited
excited,最高级,most excited
surprised,比较级,more surprised
surprised,最高级,most surprised
annoyed,比较级,more annoyed
annoyed,最高级,most annoyed
confused,比较级,more confused
confused,最高级,most confused
frightened,比较级,more frightened
frightened,最高级,most frightened
interested,比较级,more interested
interested,最高级,most interested
pleased,比较级,more pleased
pleased,最高级,most pleased
worried,比较级,more worried
worried,最高级,most worried
one,序数词,first
two,序数词,second
three,序数词,third
four,序数词,fourth
five,序数词,fifth
six,序数词,sixth
seven,序数词,seventh
eight,序数词,eighth
nine,序数词,ninth
ten,序数词,tenth
eleven,序数词,eleventh
twelve,序数词,twelfth
thirteen,序数词,thirteenth
fourteen,序数词,fourteenth
fifteen,序数词,fifteenth
sixteen,序数词,sixteenth
seventeen,序数词,seventeenth
eighteen,序数词,eighteenth
nineteen,序数词,nineteenth
twenty,序数词,twentieth
twenty-one,序数词,twenty-first
twenty-two,序数词,twenty-second
thirty,序数词,thirtieth
forty,序数词,fortieth
fifty,序数词,fiftieth
sixty,序数词,sixtieth
seventy,序数词,seventieth
eighty,序数词,eightieth
ninety,序数词,ninetieth
hundred,序数词,hundredth
thousand,序数词,thousandth
million,序数词,millionth
buy,同音词,by
be,同音词,bee
beach,同音词,beech
bean,同音词,been
been,同音词,bean
bare,同音词,bear
bear,同音词,bare
brake,同音词,break
break,同音词,brake
cell,同音词,sell
sell,同音词,cell
cent,同音词,scent
scent,同音词,cent
sent,同音词,cent
course,同音词,coarse
coarse,同音词,course
deer,同音词,dear
fair,同音词,fare
fare,同音词,fair
flee,同音词,flea
flea,同音词,flee
flower,同音词,flour
flour,同音词,flower
hair,同音词,hare
hare,同音词,hair
heel,同音词,heal
heal,同音词,heel
hole,同音词,whole
whole,同音词,hole
hour,同音词,our
knight,同音词,night
night,同音词,knight
knot,同音词,not
not,同音词,knot
know,同音词,no
lead,同音词,led
led,同音词,lead
made,同音词,maid
maid,同音词,made
mail,同音词,male
male,同音词,mail
meet,同音词,meat
missed,同音词,mist
mist,同音词,missed
none,同音词,nun
nun,同音词,none
pail,同音词,pale
pale,同音词,pail
peace,同音词,piece
piece,同音词,peace
plain,同音词,plane
plane,同音词,plain
rain,同音词,reign
reign,同音词,rain
rein,同音词,rain
read,同音词,red
right,同音词,rite
rite,同音词,write
road,同音词,rode
rode,同音词,road
sail,同音词,sale
sale,同音词,sail
sea,同音词,see
seam,同音词,seem
seem,同音词,seam
sight,同音词,site
site,同音词,sight
so,同音词,sew
sew,同音词,so
sow,同音词,so
sun,同音词,son
stake,同音词,steak
steak,同音词,stake
tail,同音词,tale
tale,同音词,tail
their,同音词,there
they're,同音词,there
threw,同音词,through
through,同音词,threw
wait,同音词,weight
weak,同音词,week
week,同音词,weak
wood,同音词,would
would,同音词,wood
your,同音词,you're
you're,同音词,your
ate,同音词,eight
eight,同音词,ate
bare,反义词,covered
beautiful,反义词,ugly
begin,反义词,end
below,反义词,above
best,反义词,worst
better,反义词,worse
birth,反义词,death
bitter,反义词,sweet
blame,反义词,praise
borrow,反义词,lend
bottom,反义词,top
bound,反义词,free
bright,反义词,dim
bring,反义词,take
broad,反义词,narrow
calm,反义词,stormy
careful,反义词,careless
catch,反义词,miss
cause,反义词,effect
certain,反义词,uncertain
clear,反义词,unclear
clever,反义词,stupid
close,反义词,open
comfortable,反义词,uncomfortable
common,反义词,rare
complete,反义词,incomplete
courage,反义词,cowardice
create,反义词,destroy
cruel,反义词,kind
dangerous,反义词,safe
dead,反义词,alive
decrease,反义词,increase
defeat,反义词,victory
defend,反义词,attack
delay,反义词,hasten
despair,反义词,hope
destroy,反义词,build
die,反义词,live
dirty,反义词,clean
divide,反义词,unite
down,反义词,up
dull,反义词,sharp
east,反义词,west
easy,反义词,difficult
empty,反义词,full
end,反义词,begin
enemy,反义词,friend
enjoy,反义词,hate
enter,反义词,exit
even,反义词,odd
every,反义词,none
exactly,反义词,approximately
exclude,反义词,include
exit,反义词,enter
expensive,反义词,cheap
export,反义词,import
exterior,反义词,interior
external,反义词,internal
