原词,关系类型,目标词
fail,反义词,succeed
FALSE,反义词,TRUE
famous,反义词,unknown
fear,反义词,courage
few,反义词,many
find,反义词,lose
first,反义词,last
following,反义词,previous
forget,反义词,remember
free,反义词,bound
frequent,反义词,rare
fresh,反义词,stale
friend,反义词,enemy
gain,反义词,lose
generous,反义词,stingy
gentle,反义词,rough
get,反义词,give
girl,反义词,boy
give,反义词,receive
glad,反义词,sad
go,反义词,come
grand,反义词,insignificant
grateful,反义词,ungrateful
great,反义词,small
guilty,反义词,innocent
harm,反义词,benefit
hate,反义词,love
heavy,反义词,light
hell,反义词,heaven
help,反义词,hinder
hinder,反义词,help
hope,反义词,despair
horizontal,反义词,vertical
huge,反义词,tiny
human,反义词,animal
humble,反义词,proud
hungry,反义词,full
ignore,反义词,notice
ill,反义词,healthy
immense,反义词,tiny
import,反义词,export
include,反义词,exclude
increase,反义词,decrease
innocent,反义词,guilty
inside,反义词,outside
intelligent,反义词,stupid
interior,反义词,exterior
internal,反义词,external
join,反义词,separate
junior,反义词,senior
lack,反义词,plenty
large,反义词,small
last,反义词,first
laugh,反义词,cry
lazy,反义词,active
lead,反义词,follow
leave,反义词,arrive
lend,反义词,borrow
less,反义词,more
light,反义词,dark
little,反义词,much
live,反义词,die
loose,反义词,tight
lose,反义词,win
loss,反义词,gain
love,反义词,hate
low,反义词,high
major,反义词,minor
many,反义词,few
mature,反义词,immature
maximum,反义词,minimum
mean,反义词,generous
melt,反义词,freeze
minor,反义词,major
more,反义词,less
much,反义词,little
narrow,反义词,wide
negative,反义词,positive
next,反义词,previous
nice,反义词,awful
no,反义词,yes
noisy,反义词,quiet
none,反义词,all
nothing,反义词,everything
notice,反义词,ignore
now,反义词,then
obey,反义词,disobey
old,反义词,new
open,反义词,shut
optimist,反义词,pessimist
order,反义词,chaos
other,反义词,same
out,反义词,in
outer,反义词,inner
outside,反义词,inside
over,反义词,under
pain,反义词,pleasure
part,反义词,whole
partial,反义词,total
pass,反义词,fail
past,反义词,present
peace,反义词,war
permanent,反义词,temporary
plenty,反义词,lack
poor,反义词,rich
positive,反义词,negative
poverty,反义词,wealth
powerful,反义词,weak
pretty,反义词,ugly
private,反义词,public
probable,反义词,improbable
problem,反义词,solution
profit,反义词,loss
public,反义词,private
pull,反义词,push
punish,反义词,reward
pure,反义词,impure
push,反义词,pull
question,反义词,answer
quiet,反义词,loud
raise,反义词,lower
rapid,反义词,slow
rare,反义词,common
reach,反义词,miss
read,反义词,write
real,反义词,unreal
receive,反义词,give
reduce,反义词,increase
refuse,反义词,accept
remove,反义词,add
rise,反义词,fall
rough,反义词,smooth
sad,反义词,happy
save,反义词,spend
sell,反义词,buy
send,反义词,receive
senior,反义词,junior
separate,反义词,join
serious,反义词,trivial
shallow,反义词,deep
sharp,反义词,dull
shut,反义词,open
sick,反义词,healthy
simple,反义词,complex
single,反义词,married
sink,反义词,float
skillful,反义词,clumsy
sleep,反义词,wake
slow,反义词,fast
small,反义词,big
soft,反义词,hard
solar,反义词,lunar
solid,反义词,liquid
sour,反义词,sweet
south,反义词,north
special,反义词,ordinary
specific,反义词,general
start,反义词,finish
stay,反义词,leave
steady,反义词,unsteady
stop,反义词,continue
straight,反义词,curved
strange,反义词,familiar
success,反义词,failure
take,反义词,give
tame,反义词,wild
teach,反义词,learn
temporary,反义词,permanent
thin,反义词,thick
throw,反义词,catch
tight,反义词,loose
tiny,反义词,huge
together,反义词,apart
top,反义词,bottom
total,反义词,partial
toward,反义词,away
TRUE,反义词,FALSE
under,反义词,over
useful,反义词,useless
vertical,反义词,horizontal
victory,反义词,defeat
voluntary,反义词,involuntary
war,反义词,peace
warm,反义词,cool
waste,反义词,save
weak,反义词,strong
wealth,反义词,poverty
wet,反义词,dry
white,反义词,black
within,反义词,outside
worse,反义词,better
worst,反义词,best
add,近义词,plus
adult,近义词,grown-up
advise,近义词,suggest
affect,近义词,influence
almost,近义词,nearly
alone,近义词,solo
already,近义词,previously
also,近义词,too
although,近义词,though
among,近义词,between
amount,近义词,quantity
annual,近义词,yearly
apartment,近义词,flat
apparent,近义词,obvious
appeal,近义词,attraction
apply,近义词,use
area,近义词,region
argue,近义词,debate
arrange,近义词,organize
article,近义词,essay
artist,近义词,painter
aspect,近义词,feature
assist,近义词,help
assure,近义词,guarantee
athlete,近义词,sportsman
atmosphere,近义词,air
attach,近义词,fasten
attend,近义词,join
attention,近义词,notice
attitude,近义词,view
attract,近义词,draw
audience,近义词,spectators
author,近义词,writer
available,近义词,accessible
average,近义词,mean
avoid,近义词,evade
aware,近义词,conscious
basis,近义词,foundation
bear,近义词,carry
beat,近义词,hit
behave,近义词,act
belief,近义词,faith
belong,近义词,fit
beneath,近义词,under
benefit,近义词,advantage
blow,近义词,blast
board,近义词,plank
border,近义词,edge
bother,近义词,annoy
branch,近义词,division
brief,近义词,short
broad,近义词,wide
budget,近义词,financial plan
capable,近义词,able
career,近义词,profession
cause,近义词,reason
central,近义词,middle
century,近义词,100 years
certain,近义词,sure
chance,近义词,opportunity
character,近义词,personality
charge,近义词,fee
choice,近义词,option
circumstance,近义词,situation
citizen,近义词,resident
civil,近义词,polite
classic,近义词,typical
climate,近义词,weather
collect,近义词,gather
college,近义词,university
comedy,近义词,humor
comment,近义词,remark
commercial,近义词,business
commit,近义词,perform
committee,近义词,group
common,近义词,ordinary
community,近义词,neighborhood
company,近义词,firm
compete,近义词,contest
complex,近义词,complicated
concern,近义词,worry
condition,近义词,state
conduct,近义词,behavior
conference,近义词,meeting
confidence,近义词,trust
confirm,近义词,verify
confuse,近义词,mix up
connect,近义词,join
conscious,近义词,aware
consider,近义词,think
consist,近义词,contain
constant,近义词,continuous
construct,近义词,build
consume,近义词,use
contact,近义词,touch
contain,近义词,hold
content,近义词,satisfied
contest,近义词,competition
contract,近义词,agreement
contrast,近义词,difference
contribute,近义词,give
control,近义词,manage
convenient,近义词,handy
conversation,近义词,dialogue
convince,近义词,persuade
cope,近义词,manage
core,近义词,center
corner,近义词,angle
correct,近义词,right
council,近义词,committee
course,近义词,class
court,近义词,law court
create,近义词,make
credit,近义词,praise
crime,近义词,offense
critical,近义词,important
culture,近义词,custom
current,近义词,present
curve,近义词,bend
damage,近义词,harm
deal,近义词,handle
debate,近义词,discuss
decade,近义词,10 years
declare,近义词,announce
decrease,近义词,reduce
defend,近义词,protect
define,近义词,describe
definite,近义词,certain
degree,近义词,level
deliver,近义词,bring
demand,近义词,request
demonstrate,近义词,show
deny,近义词,refuse
depend,近义词,rely
describe,近义词,explain
desire,近义词,want
despite,近义词,although
determine,近义词,decide
develop,近义词,grow
difference,近义词,contrast
difficult,近义词,hard
direction,近义词,way
discover,近义词,find
disease,近义词,illness
display,近义词,show
distant,近义词,far
distribute,近义词,spread
divorce,近义词,split up
domestic,近义词,household
doubt,近义词,uncertainty
dozen,近义词,twelve
drama,近义词,play
dramatic,近义词,striking
dream,近义词,fantasy
dress,近义词,clothing
drink,近义词,beverage
drive,近义词,operate
drop,近义词,fall
drug,近义词,medicine
duty,近义词,responsibility
dynamic,近义词,active
eager,近义词,keen
earn,近义词,make money
earth,近义词,ground
ease,近义词,comfort
economic,近义词,financial
edge,近义词,border
educate,近义词,teach
effect,近义词,result
effective,近义词,successful
efficient,近义词,productive
effort,近义词,attempt
election,近义词,vote
elementary,近义词,basic
eliminate,近义词,remove
else,近义词,otherwise
embarrass,近义词,shame
emerge,近义词,appear
emergency,近义词,crisis
emotion,近义词,feeling
emphasize,近义词,stress
employ,近义词,hiring
empty,近义词,vacant
enable,近义词,allow
encourage,近义词,support
endure,近义词,stand
energy,近义词,power
engage,近义词,involve
enhance,近义词,improve
enormous,近义词,huge
ensure,近义词,guarantee
entertain,近义词,amuse
enthusiasm,近义词,passion
entire,近义词,whole
entrance,近义词,doorway
entry,近义词,access
environment,近义词,surroundings
equal,近义词,same
equip,近义词,provide
error,近义词,mistake
escape,近义词,avoid
especially,近义词,particularly
essential,近义词,necessary
establish,近义词,set up
estate,近义词,property
estimate,近义词,approximate
evaluate,近义词,judge
event,近义词,occurrence
eventual,近义词,ultimate
ever,近义词,always
evidence,近义词,proof
exact,近义词,precise
examine,近义词,inspect
example,近义词,instance
exceed,近义词,surpass
excellent,近义词,outstanding
except,近义词,excluding
excess,近义词,surplus
exchange,近义词,trade
exclude,近义词,omit
excuse,近义词,pardon
execute,近义词,perform
exercise,近义词,activity
exhaust,近义词,tire out
exist,近义词,live
expand,近义词,enlarge
expect,近义词,anticipate
expense,近义词,cost
experience,近义词,undergo
experiment,近义词,test
expert,近义词,specialist
explode,近义词,burst
explore,近义词,investigate
export,近义词,foreign trade
expose,近义词,reveal
express,近义词,show
extend,近义词,lengthen
extent,近义词,degree
external,近义词,outside
extreme,近义词,intense
facility,近义词,amenity
fact,近义词,truth
factor,近义词,element
fail,近义词,fall short
failure,近义词,defeat
fair,近义词,just
faith,近义词,trust
FALSE,近义词,untrue
familiar,近义词,known
famous,近义词,renowned
fancy,近义词,imagine
fantastic,近义词,wonderful
farm,近义词,agricultural land
fashion,近义词,style
fatal,近义词,deadly
fault,近义词,defect
favor,近义词,preference
fear,近义词,afraid
feature,近义词,characteristic
federal,近义词,national
fee,近义词,charge
feed,近义词,provide food
female,近义词,woman
fence,近义词,barrier
few,近义词,several
field,近义词,area
fight,近义词,battle
figure,近义词,number
file,近义词,folder
fill,近义词,refill
film,近义词,movie
final,近义词,last
financial,近义词,monetary
find,近义词,locate
fine,近义词,okay
fire,近义词,flame
firm,近义词,company
first,近义词,initial
fit,近义词,suitable
flat,近义词,apartment
flexible,近义词,elastic
flight,近义词,flying
float,近义词,drift
floor,近义词,ground
flow,近义词,stream
focus,近义词,concentrate
follow,近义词,come after
fond,近义词,affectionate
fool,近义词,idiot
force,近义词,strength
forecast,近义词,predict
foreign,近义词,overseas
forest,近义词,woods
form,近义词,shape
former,近义词,previous
fortune,近义词,luck
forward,近义词,ahead
found,近义词,establish
fragile,近义词,delicate
frame,近义词,structure
freedom,近义词,liberty
freeze,近义词,ice up
frequent,近义词,often
fresh,近义词,new
friend,近义词,companion
front,近义词,forehead
fruit,近义词,produce
fuel,近义词,energy source
full,近义词,completely full
fun,近义词,enjoyment
function,近义词,purpose
fund,近义词,money
fundamental,近义词,basic
funny,近义词,humorous
furniture,近义词,household goods
further,近义词,additional
future,近义词,time ahead
gain,近义词,profit
game,近义词,play
garden,近义词,yard
gas,近义词,fuel
general,近义词,common
generate,近义词,produce
generation,近义词,age group
gentle,近义词,kind
genuine,近义词,real
girl,近义词,young woman
glass,近义词,drinking container
global,近义词,worldwide
goal,近义词,objective
gold,近义词,metal
good,近义词,nice
govern,近义词,rule
graduate,近义词,student finished school
grain,近义词,cereal
grand,近义词,impressive
grant,近义词,give
grass,近义词,lawn
grateful,近义词,thankful
great,近义词,excellent
green,近义词,environmentally friendly
gross,近义词,total
ground,近义词,earth
group,近义词,cluster
grow,近义词,develop
guarantee,近义词,warranty
guard,近义词,protect
guess,近义词,suppose
guest,近义词,visitor
guide,近义词,direct
gun,近义词,firearm
habit,近义词,routine
half,近义词,50 percent
hand,近义词,help
handle,近义词,manage
hang,近义词,suspend
hard,近义词,difficult
harm,近义词,injure
hat,近义词,cap
hate,近义词,dislike
have,近义词,possess
head,近义词,leader
health,近义词,wellness
heart,近义词,core
heat,近义词,warmth
heavy,近义词,weighty
hell,近义词,underworld
hence,近义词,therefore
her,近义词,herself
here,近义词,this place
hero,近义词,champion
high,近义词,elevated
him,近义词,himself
hire,近义词,employ
hole,近义词,opening
holiday,近义词,vacation
honest,近义词,truthful
horse,近义词,equine
hospital,近义词,medical center
hot,近义词,warm
hotel,近义词,inn
hour,近义词,60 minutes
house,近义词,home
huge,近义词,enormous
human,近义词,person
hungry,近义词,starving
hunt,近义词,search
husband,近义词,spouse
idea,近义词,thought
identify,近义词,recognize
ignore,近义词,disregard
ill,近义词,sick
image,近义词,picture
imagine,近义词,fancy
immediate,近义词,instant
impact,近义词,effect
important,近义词,significant
impossible,近义词,not possible
improve,近义词,enhance
income,近义词,earnings
indeed,近义词,truly
independent,近义词,free
indicate,近义词,point out
individual,近义词,person
industry,近义词,business
information,近义词,data
initial,近义词,first
injure,近义词,hurt
inside,近义词,interior
insist,近义词,persist
inspire,近义词,motivate
instance,近义词,example
instead,近义词,alternatively
institute,近义词,organization
instruction,近义词,guidance
instrument,近义词,tool
insurance,近义词,coverage
intend,近义词,plan
interest,近义词,curiosity
internal,近义词,inner
international,近义词,global
interview,近义词,discussion
into,近义词,inside
introduce,近义词,present
invest,近义词,put money
investigate,近义词,examine
invite,近义词,ask
involve,近义词,include
iron,近义词,metal
island,近义词,isle
issue,近义词,problem
item,近义词,article
join,近义词,connect
joint,近义词,shared
joke,近义词,funny story
journey,近义词,trip
judge,近义词,assess
just,近义词,only
key,近义词,important
kill,近义词,murder
kind,近义词,type
king,近义词,ruler
kiss,近义词,smack
kitchen,近义词,cooking area
knock,近义词,rap
knowledge,近义词,information
label,近义词,tag
labor,近义词,work
lack,近义词,shortage
lady,近义词,woman
lake,近义词,body of water
land,近义词,ground
language,近义词,tongue
last,近义词,final
late,近义词,tardy
laugh,近义词,giggle
law,近义词,rule
lawyer,近义词,attorney
lay,近义词,place
lead,近义词,guide
least,近义词,minimum
left,近义词,remaining
legal,近义词,lawful
lend,近义词,loan
less,近义词,smaller amount
lesson,近义词,class
let,近义词,allow
letter,近义词,written message
level,近义词,degree
lie,近义词,recline
life,近义词,existence
light,近义词,illumination
like,近义词,enjoy
likely,近义词,probable
limit,近义词,restriction
line,近义词,row
link,近义词,connection
list,近义词,enumerate
literature,近义词,writings
load,近义词,cargo
local,近义词,nearby
lock,近义词,fasten
long,近义词,lengthy
loose,近义词,not tight
lord,近义词,master
loss,近义词,defeat
lot,近义词,many
low,近义词,short
luck,近义词,fortune
lucky,近义词,fortunate
lunch,近义词,midday meal
machine,近义词,device
mad,近义词,angry
magazine,近义词,journal
mail,近义词,post
main,近义词,primary
major,近义词,significant
male,近义词,man
man,近义词,adult male
manage,近义词,handle
many,近义词,numerous
mark,近义词,spot
market,近义词,store
marry,近义词,wed
master,近义词,expert
match,近义词,game
material,近义词,fabric
matter,近义词,issue
may,近义词,might
maybe,近义词,perhaps
measure,近义词,calculate
meat,近义词,flesh
media,近义词,press
medical,近义词,health
member,近义词,participant
memory,近义词,recall
mention,近义词,refer to
message,近义词,communication
method,近义词,approach
middle,近义词,center
might,近义词,strength
mile,近义词,distance
milk,近义词,dairy product
mind,近义词,brain
mine,近义词,belonging to me
minor,近义词,smaller
minute,近义词,60 seconds
miss,近义词,lack
mistake,近义词,error
mix,近义词,blend
model,近义词,example
modern,近义词,contemporary
moment,近义词,instant
money,近义词,currency
month,近义词,30 days
more,近义词,additional
morning,近义词,forenoon
most,近义词,almost all
motion,近义词,movement
motor,近义词,engine
mount,近义词,climb
mountain,近义词,peak
movie,近义词,film
much,近义词,plenty
murder,近义词,kill
music,近义词,melody
must,近义词,need to
my,近义词,mine
name,近义词,title
narrow,近义词,thin
nation,近义词,country
natural,近义词,normal
near,近义词,close
necessary,近义词,required
need,近义词,requirement
neighbor,近义词,resident nearby
neither,近义词,nor
nerve,近义词,guts
net,近义词,network
never,近义词,not ever
new,近义词,unused
news,近义词,information
next,近义词,following
nice,近义词,pleasant
night,近义词,dark hours
no,近义词,negative
nobody,近义词,no one
noise,近义词,sound
none,近义词,zero
nor,近义词,neither
normal,近义词,usual
north,近义词,northern
not,近义词,negative
note,近义词,message
nothing,近义词,zero
notice,近义词,see
now,近义词,currently
nuclear,近义词,atomic
number,近义词,numeral
object,近义词,item
observe,近义词,watch
obtain,近义词,get
obvious,近义词,clear
occasion,近义词,event
ocean,近义词,sea
off,近义词,not working
offer,近义词,propose
office,近义词,workplace
often,近义词,frequently
oil,近义词,petroleum
old,近义词,aged
on,近义词,upon
once,近义词,one time
only,近义词,sole
open,近义词,unlocked
operate,近义词,work
opinion,近义词,view
opportunity,近义词,chance
opposite,近义词,contrary
or,近义词,otherwise
orange,近义词,fruit color
order,近义词,arrangement
ordinary,近义词,common
organization,近义词,group
original,近义词,first
other,近义词,different
otherwise,近义词,or else
ought,近义词,should
our,近义词,belonging to us
out,近义词,outside
outcome,近义词,result
outside,近义词,exterior
over,近义词,above
open,反义词,closed
optimistic,反义词,pessimistic
ordinary,反义词,special
original,反义词,copy
perfect,反义词,imperfect
praise,反义词,criticize
probable,反义词,unlikely
produce,反义词,consume
professional,反义词,amateur
protect,反义词,attack
qualified,反义词,unqualified
rainy,反义词,sunny
real,反义词,fake
receive,反义词,send
repair,反义词,break
reply,反义词,ask
response,反义词,question
responsible,反义词,irresponsible
rest,反义词,work
reward,反义词,punishment
satisfy,反义词,disappoint
save,反义词,waste
scatter,反义词,collect
search,反义词,find
secure,反义词,insecure
separate,反义词,together
serious,反义词,funny
shout,反义词,whisper
show,反义词,hide
small,反义词,large
smart,反义词,dumb
smile,反义词,frown
stop,反义词,go
stupid,反义词,smart
sugar,反义词,salt
sunny,反义词,rainy
tiny,反义词,large
tough,反义词,easy
vacant,反义词,occupied
valuable,反义词,worthless
be,词形变化,is
go,词形变化,gone
eat,词形变化,eaten
see,词形变化,seen
take,词形变化,taken
drink,词形变化,drank
drink,词形变化,drunk
sing,词形变化,sung
swim,词形变化,swum
run,词形变化,ran
run,词形变化,runner
fly,词形变化,flown
break,词形变化,broke
break,词形变化,broken
choose,词形变化,chose
choose,词形变化,chosen
speak,词形变化,spoke
speak,词形变化,spoken
steal,词形变化,stole
steal,词形变化,stolen
write,词形变化,wrote
write,词形变化,written
ride,词形变化,rode
ride,词形变化,ridden
drive,词形变化,drove
drive,词形变化,driven
hide,词形变化,hid
hide,词形变化,hidden
bite,词形变化,bit
bite,词形变化,bitten
fall,词形变化,fell
fall,词形变化,fallen
forget,词形变化,forgot
forget,词形变化,forgotten
give,词形变化,gave
give,词形变化,given
shake,词形变化,shook
shake,词形变化,shaken
show,词形变化,showed
show,词形变化,shown
grow,词形变化,grew
grow,词形变化,grown
know,词形变化,knew
know,词形变化,known
throw,词形变化,threw
throw,词形变化,thrown
draw,词形变化,drew
draw,词形变化,drawn
wear,词形变化,wore
wear,词形变化,worn
tear,词形变化,tore
tear,词形变化,torn
begin,词形变化,began
begin,词形变化,begun
ring,词形变化,rank
ring,词形变化,rung
shrink,词形变化,shrank
shrink,词形变化,shrunk
sink,词形变化,sank
sink,词形变化,sunk
freeze,词形变化,froze
freeze,词形变化,frozen
wake,词形变化,woke
wake,词形变化,woken
lie,词形变化,lay
lie,词形变化,lain
write,同音词,right
blew,同音词,blue
read,过去式,read
read,过去分词,read
lead,过去式,led
lead,过去分词,led
put,过去式,put
put,过去分词,put
cut,过去式,cut
cut,过去分词,cut
hurt,过去式,hurt
hurt,过去分词,hurt
let,过去式,let
let,过去分词,let
set,过去式,set
set,过去分词,set
cost,过去式,cost
cost,过去分词,cost
shut,过去式,shut
shut,过去分词,shut
hit,过去式,hit
hit,过去分词,hit
run,过去式,ran
run,过去分词,run
come,过去式,came
come,过去分词,come
become,过去式,became
become,过去分词,become
beat,过去式,beat
beat,过去分词,beaten
light,过去式,lit
light,过去分词,lit
burn,过去式,burned
burn,过去分词,burned
learn,过去式,learned
learn,过去分词,learned
smell,过去式,smelled
smell,过去分词,smelled
spell,过去式,spelled
spell,过去分词,spelled
dream,过去式,dreamed
dream,过去分词,dreamed
kneel,过去式,knelt
kneel,过去分词,knelt
leap,过去式,leapt
leap,过去分词,leapt
spill,过去式,spilt
spill,过去分词,spilt
spoil,过去式,spoilt
spoil,过去分词,spoilt
sweep,过去式,swept
sweep,过去分词,swept
weep,过去式,wept
weep,过去分词,wept
deal,过去式,dealt
deal,过去分词,dealt
feel,过去式,felt
feel,过去分词,felt
keep,过去式,kept
keep,过去分词,kept
leave,过去式,left
leave,过去分词,left
mean,过去式,meant
mean,过去分词,meant
sleep,过去式,slept
sleep,过去分词,slept
bring,过去式,brought
bring,过去分词,brought
buy,过去式,bought
buy,过去分词,bought
catch,过去式,caught
catch,过去分词,caught
fight,过去式,fought
fight,过去分词,fought
seek,过去式,sought
seek,过去分词,sought
teach,过去式,taught
teach,过去分词,taught
think,过去式,thought
think,过去分词,thought
build,过去式,built
build,过去分词,built
lend,过去式,lent
lend,过去分词,lent
send,过去式,sent
send,过去分词,sent
spend,过去式,spent
spend,过去分词,spent
bend,过去式,bent
bend,过去分词,bent
creep,过去式,crept
creep,过去分词,crept
bleed,过去式,bled
bleed,过去分词,bled
feed,过去式,fed
feed,过去分词,fed
meet,过去式,met
meet,过去分词,met
speed,过去式,sped
speed,过去分词,sped
shoot,过去式,shot
shoot,过去分词,shot
sit,过去式,sat
sit,过去分词,sat
win,过去式,won
win,过去分词,won
shine,过去式,shone
shine,过去分词,shone
phone,同音词,fone
fone,同音词,phone
phase,同音词,faze
faze,同音词,phase
raise,同音词,rays
rays,同音词,raise
raze,同音词,raise
beech,同音词,beach
berry,同音词,bury
bury,同音词,berry
bread,同音词,bred
bred,同音词,bread
cache,同音词,cash
cash,同音词,cache
die,同音词,dye
dye,同音词,die
fir,同音词,fur
fur,同音词,fir
hall,同音词,haul
haul,同音词,hall
hay,同音词,hey
hey,同音词,hay
sew,同音词,sow
too,同音词,two
